,Time,Date,Upload (Mbit/s),Download (Mbit/s),Ping (ms)
0,13:36:25,2016-11-24,14.31,91.8,26.992
1,13:36:55,2016-11-24,14.12,88.19,24.532
2,13:37:25,2016-11-24,14.11,59.86,20.225
3,13:37:57,2016-11-24,14.22,91.81,19.332
4,13:38:27,2016-11-24,14.08,92.05,22.494
5,13:39:01,2016-11-24,14.18,91.88,17.586
6,13:39:30,2016-11-24,14.07,92.18,21.835
7,13:40:00,2016-11-24,14.13,92.05,20.464
8,13:40:30,2016-11-24,14.14,90.79,19.293
9,13:41:00,2016-11-24,14.07,92.64,20.354
10,13:41:30,2016-11-24,14.38,91.86,19.01
11,13:42:00,2016-11-24,14.23,92.24,18.092
12,13:42:30,2016-11-24,14.32,91.64,18.137
13,13:43:00,2016-11-24,14.2,92.85,18.344
14,13:43:29,2016-11-24,14.2,92.21,23.328
15,13:43:59,2016-11-24,11.36,92.24,17.908
16,13:44:31,2016-11-24,14.03,92.41,19.291
17,13:45:01,2016-11-24,14.17,90.39,20.117
18,13:45:32,2016-11-24,14.06,92.55,19.579
19,13:46:02,2016-11-24,13.71,78.51,16.364
20,13:46:34,2016-11-24,14.17,91.49,19.147
21,13:47:04,2016-11-24,14.16,91.46,19.342
22,13:47:34,2016-11-24,14.37,91.19,21.959
23,13:48:04,2016-11-24,13.87,91.64,19.951
24,13:48:36,2016-11-24,14.38,90.47,17.13
25,13:49:06,2016-11-24,14.19,91.9,19.822
26,13:49:35,2016-11-24,14.18,91.96,20.559
27,13:50:05,2016-11-24,14.23,92.24,16.649
28,13:50:35,2016-11-24,13.97,90.93,21.036
29,13:51:05,2016-11-24,14.28,92.36,22.457
30,13:51:35,2016-11-24,14.22,91.42,18.345
31,13:52:04,2016-11-24,14.14,91.36,22.255
32,13:52:34,2016-11-24,14.21,91.5,18.681
33,13:53:04,2016-11-24,14.03,92.04,17.665
34,13:53:34,2016-11-24,14.31,91.04,22.605
35,13:54:04,2016-11-24,14.12,92.07,17.445
36,13:54:34,2016-11-24,9.23,92.14,20.771
37,13:55:04,2016-11-24,13.97,92.3,18.916
38,13:55:37,2016-11-24,14.06,92.27,19.17
39,13:56:07,2016-11-24,10.73,91.89,19.197
40,13:56:40,2016-11-24,14.16,92.37,20.921
41,13:57:10,2016-11-24,14.35,91.98,18.565
42,13:57:39,2016-11-24,14.05,92.0,18.607
43,13:58:09,2016-11-24,14.3,91.14,17.826
44,13:58:40,2016-11-24,10.85,92.06,19.038
45,13:59:10,2016-11-24,14.28,90.45,19.712
46,13:59:40,2016-11-24,14.33,92.21,19.754
47,14:00:10,2016-11-24,7.4,88.81,22.427
48,14:00:41,2016-11-24,14.46,92.41,19.862
49,14:01:10,2016-11-24,14.25,92.25,18.858
50,14:01:40,2016-11-24,13.95,91.53,21.899
51,14:02:10,2016-11-24,13.7,91.09,19.482
52,14:02:40,2016-11-24,13.89,84.75,25.331
53,14:03:10,2016-11-24,14.23,92.42,19.632
54,14:03:40,2016-11-24,13.31,92.26,18.816
55,14:04:10,2016-11-24,14.06,92.0,20.994
56,14:04:40,2016-11-24,13.83,91.46,19.366
57,14:05:10,2016-11-24,14.09,90.88,18.014
58,14:05:40,2016-11-24,14.16,90.23,17.715
59,14:06:10,2016-11-24,14.18,91.82,20.273
60,14:06:40,2016-11-24,11.81,83.68,17.505
61,14:07:11,2016-11-24,13.96,88.98,20.7
62,14:07:41,2016-11-24,14.25,92.17,21.189
63,14:08:10,2016-11-24,13.8,91.8,21.28
64,14:08:41,2016-11-24,14.09,92.22,21.942
65,14:09:12,2016-11-24,14.04,91.83,21.935
66,14:09:41,2016-11-24,14.01,92.25,22.176
67,14:10:12,2016-11-24,14.3,91.81,20.493
68,14:10:41,2016-11-24,11.0,91.76,20.933
69,14:11:11,2016-11-24,14.28,91.79,22.627
70,14:11:41,2016-11-24,14.2,88.41,20.212
71,14:12:11,2016-11-24,14.05,90.03,20.465
72,14:12:42,2016-11-24,14.31,91.2,22.501
73,14:13:14,2016-11-24,13.84,91.98,21.149
74,14:13:44,2016-11-24,13.91,92.04,22.679
75,14:14:14,2016-11-24,13.93,92.04,20.85
76,14:14:43,2016-11-24,14.0,92.5,19.671
77,14:15:13,2016-11-24,14.22,91.17,21.312
78,14:15:43,2016-11-24,14.15,92.02,21.569
79,14:16:13,2016-11-24,14.11,92.31,23.272
80,14:16:44,2016-11-24,14.01,91.96,21.666
81,14:17:14,2016-11-24,14.05,91.36,18.758
82,14:17:44,2016-11-24,14.32,92.3,19.028
83,14:18:14,2016-11-24,13.8,89.2,19.764
84,14:18:44,2016-11-24,14.08,92.19,18.557
85,14:19:14,2016-11-24,10.02,87.69,22.456
86,14:19:50,2016-11-24,13.87,92.27,17.629
87,14:20:20,2016-11-24,13.98,92.25,19.136
88,14:20:52,2016-11-24,13.87,90.37,20.613
89,14:21:22,2016-11-24,14.07,90.88,19.783
90,14:21:52,2016-11-24,13.85,92.03,17.66
91,14:22:22,2016-11-24,13.64,91.72,22.224
92,14:22:52,2016-11-24,14.01,91.7,20.583
93,14:23:25,2016-11-24,13.96,89.82,18.076
94,14:23:55,2016-11-24,13.94,90.56,22.321
95,14:24:25,2016-11-24,13.49,87.97,21.325
96,14:24:55,2016-11-24,13.67,88.75,24.127
97,14:25:26,2016-11-24,14.07,90.74,20.6
98,14:25:58,2016-11-24,13.75,91.15,23.999
99,14:26:28,2016-11-24,14.09,91.64,18.905
100,14:26:58,2016-11-24,13.67,92.07,18.314
101,14:27:28,2016-11-24,13.66,89.03,19.381
102,14:27:59,2016-11-24,13.53,90.25,20.786
103,14:28:29,2016-11-24,14.02,91.49,20.707
104,14:28:59,2016-11-24,14.08,91.72,22.344
105,14:29:29,2016-11-24,14.29,92.35,22.241
106,14:29:59,2016-11-24,13.1,90.68,22.831
107,14:30:29,2016-11-24,14.08,89.8,25.202
108,14:30:59,2016-11-24,14.0,90.51,20.485
109,14:31:30,2016-11-24,13.97,91.39,21.81
110,14:32:00,2016-11-24,14.11,92.24,19.475
111,14:32:30,2016-11-24,14.34,92.33,18.487
112,14:32:59,2016-11-24,14.27,92.22,18.455
113,14:33:29,2016-11-24,14.03,92.28,19.053
114,14:33:59,2016-11-24,13.74,92.09,25.75
115,14:34:29,2016-11-24,13.91,91.76,21.786
116,14:34:59,2016-11-24,13.76,90.72,22.485
117,14:35:29,2016-11-24,13.97,91.46,24.378
118,14:36:06,2016-11-24,13.66,92.03,17.982
119,14:36:37,2016-11-24,13.99,90.17,22.381
120,14:37:07,2016-11-24,13.96,92.39,17.404
121,14:37:37,2016-11-24,14.32,91.33,17.221
122,14:38:07,2016-11-24,13.84,92.16,19.506
123,14:38:37,2016-11-24,13.81,91.85,18.704
124,14:39:07,2016-11-24,13.86,92.6,20.812
125,14:39:37,2016-11-24,13.64,91.6,20.928
126,14:40:07,2016-11-24,13.56,86.31,22.561
127,14:40:37,2016-11-24,14.11,91.2,21.889
128,14:41:08,2016-11-24,14.12,91.95,21.047
129,14:41:38,2016-11-24,14.15,92.06,17.954
130,14:42:08,2016-11-24,14.39,92.38,18.193
131,14:42:40,2016-11-24,14.19,91.29,23.33
132,14:43:11,2016-11-24,14.5,92.26,20.805
133,14:43:42,2016-11-24,14.05,92.32,20.67
134,14:44:12,2016-11-24,13.83,90.87,18.251
135,14:44:42,2016-11-24,14.0,92.56,19.772
136,14:45:13,2016-11-24,14.25,92.21,19.44
137,14:45:43,2016-11-24,13.26,91.33,23.605
138,14:46:13,2016-11-24,14.43,91.82,21.145
139,14:46:46,2016-11-24,14.36,91.21,19.755
140,14:47:15,2016-11-24,14.32,91.91,20.073
141,14:47:45,2016-11-24,14.04,92.02,18.29
142,14:48:15,2016-11-24,14.2,91.79,21.117
143,14:48:45,2016-11-24,14.09,91.94,20.077
144,14:49:15,2016-11-24,14.47,92.13,19.254
145,14:49:45,2016-11-24,13.79,89.36,17.752
146,14:50:15,2016-11-24,13.98,92.31,19.511
147,14:50:50,2016-11-24,14.38,89.8,17.377
148,14:51:20,2016-11-24,13.98,92.02,19.755
149,14:51:50,2016-11-24,14.21,91.3,20.084
150,14:52:20,2016-11-24,14.11,91.95,21.723
151,14:52:55,2016-11-24,13.73,92.38,19.317
152,14:53:25,2016-11-24,13.93,92.25,17.082
153,14:53:55,2016-11-24,14.3,91.98,17.574
154,14:54:25,2016-11-24,14.16,92.16,20.555
155,14:54:55,2016-11-24,14.41,91.97,20.322
156,14:55:25,2016-11-24,14.33,91.67,19.424
157,14:55:54,2016-11-24,13.87,90.08,19.423
158,14:56:24,2016-11-24,14.23,88.99,22.679
159,14:56:54,2016-11-24,14.02,90.98,23.688
160,14:57:24,2016-11-24,14.11,91.82,19.557
161,14:57:55,2016-11-24,13.72,58.48,18.818
162,14:58:24,2016-11-24,14.25,88.68,17.648
163,14:58:54,2016-11-24,14.16,92.64,18.766
164,14:59:24,2016-11-24,14.24,83.73,19.591
165,14:59:55,2016-11-24,14.04,91.74,24.292
166,15:00:25,2016-11-24,14.22,91.57,55.86
167,15:00:57,2016-11-24,14.26,91.58,21.093
168,15:01:27,2016-11-24,14.27,89.49,17.416
169,15:02:01,2016-11-24,13.9,91.34,18.155
170,15:02:31,2016-11-24,14.29,91.91,19.995
171,15:03:01,2016-11-24,14.46,91.99,19.726
172,15:03:31,2016-11-24,14.29,90.96,26.347
173,15:04:01,2016-11-24,14.29,90.93,21.724
174,15:04:31,2016-11-24,14.08,91.99,20.31
175,15:05:00,2016-11-24,14.15,92.13,18.902
176,15:05:30,2016-11-24,13.66,91.9,19.73
177,15:06:01,2016-11-24,14.41,74.31,19.952
178,15:06:33,2016-11-24,14.34,91.82,19.048
179,15:07:04,2016-11-24,14.16,91.7,20.056
180,15:07:34,2016-11-24,14.23,91.73,20.592
181,15:08:04,2016-11-24,14.25,91.87,23.398
182,15:08:34,2016-11-24,14.26,92.35,19.048
183,15:09:04,2016-11-24,13.98,92.12,18.941
184,15:09:34,2016-11-24,14.15,91.77,20.026
185,15:10:04,2016-11-24,14.13,91.99,18.891
186,15:10:34,2016-11-24,12.84,92.13,21.565
187,15:11:05,2016-11-24,13.81,92.15,20.573
188,15:11:36,2016-11-24,13.36,91.97,18.532
189,15:12:06,2016-11-24,13.56,91.95,20.694
190,15:12:37,2016-11-24,13.76,91.3,19.762
191,15:13:07,2016-11-24,13.62,91.76,17.32
192,15:13:37,2016-11-24,13.63,92.25,23.625
193,15:14:07,2016-11-24,13.79,92.01,18.992
194,15:14:37,2016-11-24,14.0,90.93,19.485
195,15:15:07,2016-11-24,13.46,91.97,18.498
196,15:15:45,2016-11-24,13.11,92.7,24.064
197,15:16:15,2016-11-24,13.87,91.97,21.577
198,15:16:45,2016-11-24,13.54,90.87,20.588
199,15:17:15,2016-11-24,13.42,91.94,21.084
200,15:17:45,2016-11-24,13.93,92.72,19.706
201,15:18:15,2016-11-24,13.9,91.92,18.141
202,15:18:44,2016-11-24,14.06,91.83,23.539
203,15:19:14,2016-11-24,13.94,91.4,19.633
204,15:19:44,2016-11-24,14.11,91.39,19.139
205,15:20:14,2016-11-24,13.25,92.62,18.941
206,15:20:44,2016-11-24,13.32,91.3,20.859
207,15:21:14,2016-11-24,13.68,92.22,20.273
208,15:21:44,2016-11-24,13.87,83.14,23.112
209,15:22:15,2016-11-24,13.57,90.9,25.45
210,15:22:47,2016-11-24,13.69,92.39,17.727
211,15:23:17,2016-11-24,13.61,92.12,21.293
212,15:23:47,2016-11-24,14.01,68.87,24.47
213,15:24:20,2016-11-24,14.08,91.14,20.256
214,15:24:50,2016-11-24,14.53,91.99,21.197
215,15:25:20,2016-11-24,14.06,92.07,21.164
216,15:25:50,2016-11-24,14.29,92.0,19.546
217,15:26:20,2016-11-24,13.8,91.59,16.167
218,15:26:50,2016-11-24,14.42,90.36,16.774
219,15:27:20,2016-11-24,14.29,91.54,21.436
220,15:27:50,2016-11-24,13.65,92.79,20.84
221,15:28:20,2016-11-24,14.23,92.64,18.484
222,15:28:50,2016-11-24,14.06,92.12,21.908
223,15:29:20,2016-11-24,14.03,91.86,18.861
224,15:29:51,2016-11-24,13.78,92.53,21.869
225,15:30:21,2016-11-24,14.08,90.79,20.83
226,15:30:51,2016-11-24,14.06,91.44,24.636
227,15:31:21,2016-11-24,13.61,91.64,22.266
228,15:31:51,2016-11-24,14.26,91.77,20.182
229,15:32:25,2016-11-24,14.24,89.33,21.307
230,15:32:55,2016-11-24,14.41,92.73,22.421
231,15:33:25,2016-11-24,13.89,92.63,22.71
232,15:33:55,2016-11-24,14.07,92.57,19.109
233,15:34:24,2016-11-24,14.07,91.35,19.926
234,15:34:55,2016-11-24,14.42,91.02,20.826
235,15:35:25,2016-11-24,14.22,90.25,20.169
236,15:35:54,2016-11-24,13.85,90.62,20.888
237,15:36:24,2016-11-24,14.18,92.58,22.072
238,15:36:54,2016-11-24,13.92,91.75,23.593
239,15:37:24,2016-11-24,13.37,92.25,20.318
240,15:37:54,2016-11-24,12.62,90.84,20.096
241,15:38:24,2016-11-24,13.61,91.77,18.27
242,15:38:54,2016-11-24,13.39,91.58,23.366
243,15:39:25,2016-11-24,8.93,74.46,18.957
244,15:39:57,2016-11-24,13.31,92.23,20.018
245,15:40:29,2016-11-24,13.34,92.54,18.813
246,15:41:00,2016-11-24,13.74,91.66,22.802
247,15:41:30,2016-11-24,13.39,91.39,21.964
248,15:42:00,2016-11-24,13.53,91.3,20.904
249,15:42:30,2016-11-24,13.49,91.84,21.791
250,15:43:00,2016-11-24,13.75,87.06,22.561
251,15:43:31,2016-11-24,13.44,89.06,21.989
252,15:44:01,2016-11-24,13.19,91.9,22.062
253,15:44:30,2016-11-24,13.33,91.1,21.956
254,15:45:01,2016-11-24,13.37,91.71,21.57
255,15:45:31,2016-11-24,13.0,91.57,20.813
256,15:46:01,2016-11-24,12.93,87.11,25.526
257,15:46:31,2016-11-24,13.33,90.36,22.65
258,15:47:01,2016-11-24,12.98,91.27,26.578
259,15:47:31,2016-11-24,13.04,91.07,20.98
260,15:48:01,2016-11-24,13.1,92.52,25.114
261,15:48:37,2016-11-24,12.35,91.69,20.359
262,15:49:10,2016-11-24,13.19,91.58,20.882
263,15:49:40,2016-11-24,13.87,91.87,17.355
264,15:50:10,2016-11-24,13.81,88.01,20.452
265,15:50:40,2016-11-24,13.71,91.94,19.984
266,15:51:10,2016-11-24,13.54,91.1,22.797
267,15:51:40,2016-11-24,13.39,92.17,21.321
268,15:52:12,2016-11-24,13.51,91.49,18.615
269,15:52:42,2016-11-24,13.5,85.49,20.308
270,15:53:18,2016-11-24,13.65,92.22,19.031
271,15:53:54,2016-11-24,13.59,92.25,17.851
272,15:54:24,2016-11-24,13.7,91.74,18.256
273,15:54:54,2016-11-24,13.64,92.14,17.273
274,15:55:24,2016-11-24,13.53,90.26,22.798
275,15:55:54,2016-11-24,13.56,89.98,20.749
276,15:56:24,2016-11-24,13.36,91.89,20.517
277,15:56:54,2016-11-24,14.01,91.77,18.083
278,15:57:24,2016-11-24,13.95,92.16,21.554
279,15:57:54,2016-11-24,14.24,92.1,19.645
280,15:58:24,2016-11-24,13.44,90.77,22.01
281,15:58:53,2016-11-24,13.31,88.43,22.089
282,15:59:24,2016-11-24,13.18,89.46,18.988
283,15:59:54,2016-11-24,13.22,91.88,19.109
284,16:00:24,2016-11-24,9.7,92.21,19.236
285,16:00:56,2016-11-24,13.4,92.34,23.349
286,16:01:26,2016-11-24,13.73,91.79,21.709
287,16:01:56,2016-11-24,13.64,91.94,21.174
288,16:02:26,2016-11-24,13.17,92.16,18.41
289,16:02:56,2016-11-24,13.55,90.4,22.199
290,16:03:29,2016-11-24,13.16,91.09,25.04
291,16:04:00,2016-11-24,13.38,91.69,20.122
292,16:04:30,2016-11-24,13.42,91.93,21.772
293,16:05:00,2016-11-24,13.2,91.92,18.295
294,16:05:30,2016-11-24,13.04,91.16,21.232
295,16:06:00,2016-11-24,13.21,87.69,20.565
296,16:06:30,2016-11-24,13.25,92.13,21.546
297,16:07:00,2016-11-24,13.07,91.93,18.059
298,16:07:30,2016-11-24,13.34,92.24,21.004
299,16:08:00,2016-11-24,13.38,91.99,21.31
300,16:08:30,2016-11-24,13.45,91.77,23.978
301,16:09:00,2016-11-24,13.37,91.31,21.924
302,16:09:31,2016-11-24,13.46,91.6,20.669
303,16:10:01,2016-11-24,13.64,92.3,21.775
304,16:10:31,2016-11-24,13.33,90.54,20.942
305,16:11:01,2016-11-24,12.41,90.97,21.843
306,16:11:31,2016-11-24,13.06,90.08,21.906
307,16:12:01,2016-11-24,12.46,88.6,23.331
308,16:12:31,2016-11-24,13.14,91.68,22.569
309,16:13:02,2016-11-24,13.25,91.89,17.265
310,16:13:32,2016-11-24,12.73,91.98,18.967
311,16:14:02,2016-11-24,12.79,92.64,19.44
312,16:14:33,2016-11-24,13.98,92.61,20.452
313,16:15:02,2016-11-24,12.96,88.72,19.496
314,16:15:36,2016-11-24,11.72,92.59,23.168
315,16:16:06,2016-11-24,12.78,90.09,20.149
316,16:16:37,2016-11-24,13.31,91.76,20.882
317,16:17:07,2016-11-24,12.56,91.12,18.078
318,16:17:38,2016-11-24,12.9,91.59,17.782
319,16:18:08,2016-11-24,12.21,91.16,17.791
320,16:18:47,2016-11-24,12.24,92.35,18.988
321,16:19:17,2016-11-24,13.1,91.64,22.42
322,16:19:47,2016-11-24,12.17,90.18,20.09
323,16:20:17,2016-11-24,12.12,92.56,19.617
324,16:20:50,2016-11-24,13.29,92.11,21.881
325,16:21:21,2016-11-24,13.95,92.18,27.408
326,16:21:54,2016-11-24,13.86,92.59,19.746
327,16:22:24,2016-11-24,14.14,90.28,19.294
328,16:22:54,2016-11-24,12.94,91.57,16.853
329,16:23:26,2016-11-24,14.15,91.92,20.168
330,16:23:56,2016-11-24,13.58,90.92,20.841
331,16:24:26,2016-11-24,13.93,91.26,18.108
332,16:24:56,2016-11-24,14.29,91.39,18.108
333,16:25:25,2016-11-24,14.17,91.44,19.962
334,16:25:55,2016-11-24,13.88,92.82,19.377
335,16:26:25,2016-11-24,14.14,88.94,23.496
336,16:26:54,2016-11-24,13.83,90.21,21.449
